gif_url	sentence
https://38.media.tumblr.com/788a5bbb7b0c4432b9d6699b4da327f2/tumblr_nhv8yzFmkd1u3l54uo1_400.gif	a man is playing a guitar and a guitar is playing the drums .
https://38.media.tumblr.com/ebc64587f30806e4a890dde396656bb7/tumblr_norcq7bjX01qe849no1_250.gif	a man and a woman are standing together .
https://38.media.tumblr.com/481142ff5c7a6544a5e8ac7b17a95dae/tumblr_nfx12yL0PW1r6pekco1_250.gif	two men are dancing together on stage .
https://38.media.tumblr.com/fab4bf9cfc2470a6cbeb8133ed170354/tumblr_no4ptzwyDv1qm9n8co1_400.gif	a man with long hair is smoking a cigarette .
https://38.media.tumblr.com/cb745e8d10318143eeef3c5a1dc2518b/tumblr_nodhmeDGTt1tadzeeo1_400.gif	a man is sitting in a chair and holding a drink .
https://38.media.tumblr.com/b10883172762e3f05d169d1146e6eac1/tumblr_nqrrpz9Ke81qhvqi6o1_400.gif	a man is smiling and moving his head .
https://38.media.tumblr.com/7043680fa969949ff4ca0bf5fd9f64a1/tumblr_nnkjulMoHH1qfgmtoo1_500.gif	a man in a black shirt is playing the guitar .
https://38.media.tumblr.com/a75f5635241378daa25adf26b6badf05/tumblr_nq90j9QffG1ux81poo1_500.gif	a woman with long hair is looking around .
https://38.media.tumblr.com/cd322ba42d5d9ba295c1103c5d897d1f/tumblr_npxztb7Ly31tf406do1_400.gif	a man is standing in front of a building .
https://38.media.tumblr.com/a3b604d9a03d96fb0bf9fd76a689984a/tumblr_noyfaouv1s1tplwgro1_500.gif	a man is dancing in a room with a phone .
https://38.media.tumblr.com/b3f0ecf4f35104a58540895fb10110aa/tumblr_nq0d5lzqtA1uw1s13o1_400.gif	a woman is singing and playing with her hair .
https://38.media.tumblr.com/d5163408cc6b787661a0eb3fa439b9e5/tumblr_ni4qhxft1T1tnkki4o1_400.gif	a young man is smiling and laughing .
https://38.media.tumblr.com/c6e7534ede88dd6b4e3dd92861a95f57/tumblr_nps5yqF7iq1tb0ub4o1_400.gif	a man is sitting in a chair and waving .
https://38.media.tumblr.com/7b85d4f2638c0b8a8c95f9a31bc9222b/tumblr_nqm97pqIYm1rjplm6o1_500.gif	a man is playing with his skateboard .
https://38.media.tumblr.com/f72d660b720df4dd718bd3a05004df31/tumblr_noofl2XtVN1uw3tyuo1_250.gif	a man is sitting in a chair and smoking a cigarette .
https://38.media.tumblr.com/2a049a05fa504ef31aecec781910e970/tumblr_nom37wmmGg1s4eg66o1_500.gif	a dog is wearing a hat and a hat .
https://38.media.tumblr.com/fadd4086e6b45f2d09b67d9ad9ae025e/tumblr_nov7syZ0sP1uwxmtlo1_400.gif	a man is lying down and smoking a cigarette .
https://31.media.tumblr.com/80e698c737dbc059ebc6dabca75eb975/tumblr_nf9mfgbbZH1shbho8o1_500.gif	a woman with a black shirt is talking .
https://38.media.tumblr.com/43138cf3dbb61c6b0bb922b6ee346d76/tumblr_notz47rcwY1sq24x8o1_400.gif	a woman is walking through a door and a man is standing behind her .
https://38.media.tumblr.com/7f3413b338c45e7b78c4e9e42c3d03f8/tumblr_nqgdlsdvel1u3ngjwo1_250.gif	a man is standing in front of a wall .
https://38.media.tumblr.com/d41d9d7d368c35cb0be6ccfc53251b75/tumblr_np9rxrBO8m1u79t3so1_400.gif	a hand is being held by a person .
https://38.media.tumblr.com/d7ff7014773238208347f5ef90880733/tumblr_noclouwC1H1uqp882o1_540.gif	a man is holding a microphone and smiling .
https://38.media.tumblr.com/e106004beabc52cd9c47df58d8ddb7cf/tumblr_nnvotoD9bf1urraj4o1_500.gif	a person is holding a guitar and a guitar .
https://38.media.tumblr.com/ddbfe51aff57fd8446f49546bc027bd7/tumblr_nowv0v6oWj1uwbrato1_500.gif	a man is dancing and singing into a microphone .
https://38.media.tumblr.com/bcbf594512de7b2145c6470eed9604f0/tumblr_npfxbkWk5Z1s94w5go1_250.gif	a man is singing into a microphone while another man is playing a guitar .
https://38.media.tumblr.com/7a5e05f656317f1b352a778752a108bc/tumblr_npkwz6QpbC1unkbhwo1_250.gif	a woman is holding a baby and a cat .
https://38.media.tumblr.com/ede21a4c7fdfcf91866dabd3855c6c6c/tumblr_non3jyr9ie1sbhsk6o1_500.gif	a man and a woman are smiling and talking .
https://38.media.tumblr.com/34c46a66708f0dfc25c5ffd5f419688b/tumblr_npbbzriOwt1u8nplio1_500.gif	a man is playing with a skateboard on a record .
https://38.media.tumblr.com/52f32c4ab79defe93f9c786eb20c0b53/tumblr_nox34tXaCU1u95gjqo1_400.gif	a man is looking at another man and smiling .
https://38.media.tumblr.com/f2b7b5f33f14daaeeae9056526506ed7/tumblr_noks4v4Q2a1ut6u2zo1_400.gif	a woman is standing in front of a microphone and blowing smoke .
https://31.media.tumblr.com/04b85507edfc11478942c001186cb8ac/tumblr_npfci6336i1ur1naio1_250.gif	a man is looking at something and then turns his head .
https://38.media.tumblr.com/61f3c1edb4c14c65ac9ba0b8fa932748/tumblr_npswm4R1kB1tk15f6o1_400.gif	a man is sitting on a bed and then falls off .
https://38.media.tumblr.com/712368408b70ce32ee4eb0f9f6fe6639/tumblr_noxlpdet5k1uwrtyko1_500.gif	a man is sitting in a chair and smoking a cigarette .
https://38.media.tumblr.com/9d1b882d1ac6d85c015d57939fa7e74c/tumblr_npdeeniOGl1s06j30o1_400.gif	a car is driving on a track .
https://38.media.tumblr.com/ad993f5043eceb36562eec97b2cfb600/tumblr_nq5shcyvQ71rqlwo0o1_400.gif	a man is looking at something and then looks up .
https://38.media.tumblr.com/e9dd3f7469a154b13422ba9141f7d9d4/tumblr_nqb38eH9vk1qe9a6no1_250.gif	a young man is smoking and blowing smoke .
https://38.media.tumblr.com/3b506e27c82093fe753c2ad38f0edc26/tumblr_noozcvca8b1uuexz4o1_500.gif	a young man is holding a bottle of water .
https://38.media.tumblr.com/e98281172ea24271db4b279a8d29356d/tumblr_nq1uexbpw01uwe7nho1_250.gif	a woman with long hair is smiling and looking at something .
https://38.media.tumblr.com/45f69a97a1a9e248b46c761d7c9d55d6/tumblr_nptbdl1fVs1tw4vtzo1_400.gif	a group of people are dancing and singing .
https://31.media.tumblr.com/80d9490fdaa202ce1882f2449b4758c9/tumblr_no50bmfzlC1uuegolo1_250.gif	a football player is running to the ground and he falls down .
https://38.media.tumblr.com/929b80cfe062c0c415e0bc187cd2354f/tumblr_nprmzqr4Z81tkeou1o1_400.gif	a group of men are dancing and singing .
https://38.media.tumblr.com/eba27bf1dbac277beb0c36212d4c74d8/tumblr_npjopzbz3k1qz8lpeo1_250.gif	a man is dancing with his friend .
https://38.media.tumblr.com/9370bbe0e88533b1fc132af8f9d09354/tumblr_nqgnazNo2u1s6sruwo1_250.gif	a woman is kissing a man on the cheek .
https://38.media.tumblr.com/cf00d2f61ef63f9d4fcc88683624f416/tumblr_npjbm8zizK1txgyxzo1_500.gif	a woman is standing in a dark room .
https://38.media.tumblr.com/6a27c0463512bba2026b4cff45202b46/tumblr_notji8LBNw1tqa3xwo1_400.gif	a man is talking to someone and making a funny face .
https://38.media.tumblr.com/3010471a2d09fce4fb3bbbef3316a3ac/tumblr_npxtbon4aF1u0j5uyo1_400.gif	a man is looking at something and then looks up .
https://38.media.tumblr.com/95eebb6c0fd5499017d9825d52a0dbfa/tumblr_noka4jzEvu1uvvbrro1_250.gif	a man is kissing a woman on the cheek .
https://38.media.tumblr.com/f0c4024148b2217b384ac301a1af5ec9/tumblr_npj6idU5GU1ql8dhmo2_250.gif	a man is talking to a woman in a kitchen .
https://38.media.tumblr.com/a53426f2be652304a6cf1857c7dca052/tumblr_np5aw09Aa31shzpsuo1_500.gif	a woman is singing and holding a microphone .
https://38.media.tumblr.com/ae661df053fc45fd0c1ca63078c4f5fe/tumblr_nq6iwlxWqF1uytabuo1_500.gif	a person is sitting in a car and smoking .
https://38.media.tumblr.com/9590ca921140a171505944bafe3d535c/tumblr_npxf8wubW91qlhoemo1_400.gif	a man with a beard is talking to someone .
